Figure 1: CPIH and CPI 12-month inflation rates remain around 2%,,,
"CPIH, OOH component and CPI 12-month rates for the last 10 years, UK, May 2009 to May 2019",,,
,,,
Notes,,,
Unit,%,,
,,,
,CPIH,CPI,OOH
May-09,2.1,2.2,1.6
Jun-09,1.7,1.8,1.2
Jul-09,1.6,1.8,0.9
Aug-09,1.4,1.6,0.6
Sep-09,1,1.1,0.3
Oct-09,1.2,1.5,-0.3
Nov-09,1.5,1.9,-0.7
Dec-09,2.1,2.9,-1.3
Jan-10,2.6,3.5,-1.5
Feb-10,2.1,3,-1.7
Mar-10,2.4,3.4,-1.7
Apr-10,2.7,3.7,-1.8
May-10,2.5,3.4,-1.6
Jun-10,2.4,3.2,-1.4
Jul-10,2.3,3.1,-1.2
Aug-10,2.4,3.1,-0.9
Sep-10,2.4,3.1,-0.7
Oct-10,2.5,3.2,-0.3
Nov-10,2.6,3.3,0
Dec-10,3.1,3.7,0.5
Jan-11,3.4,4,0.9
Feb-11,3.7,4.4,1
Mar-11,3.5,4,1.3
Apr-11,3.8,4.5,1.5
May-11,3.8,4.5,1.5
Jun-11,3.6,4.2,1.6
Jul-11,3.8,4.4,1.6
Aug-11,3.9,4.5,1.6
Sep-11,4.5,5.2,1.8
Oct-11,4.3,5,1.8
Nov-11,4.1,4.8,1.7
Dec-11,3.7,4.2,1.8
Jan-12,3.2,3.6,1.7
Feb-12,3.1,3.4,1.8
Mar-12,3.1,3.5,1.7
Apr-12,2.8,3,1.7
May-12,2.5,2.8,1.6
Jun-12,2.3,2.4,1.6
Jul-12,2.4,2.6,1.6
Aug-12,2.3,2.5,1.7
Sep-12,2.1,2.2,1.7
Oct-12,2.4,2.7,1.6
Nov-12,2.4,2.7,1.7
Dec-12,2.4,2.7,1.6
Jan-13,2.4,2.7,1.5
Feb-13,2.5,2.8,1.5
Mar-13,2.5,2.8,1.5
Apr-13,2.2,2.4,1.5
May-13,2.4,2.7,1.5
Jun-13,2.6,2.9,1.4
Jul-13,2.5,2.8,1.5
Aug-13,2.4,2.7,1.4
Sep-13,2.4,2.7,1.2
Oct-13,2,2.2,1.3
Nov-13,1.9,2.1,1.4
Dec-13,1.9,2,1.3
Jan-14,1.8,1.9,1.3
Feb-14,1.6,1.7,1.3
Mar-14,1.5,1.6,1.2
Apr-14,1.7,1.8,1.3
May-14,1.5,1.5,1.3
Jun-14,1.8,1.9,1.4
Jul-14,1.6,1.6,1.5
Aug-14,1.5,1.5,1.6
Sep-14,1.3,1.2,1.7
Oct-14,1.3,1.3,1.7
Nov-14,1.1,1,1.6
Dec-14,0.7,0.5,1.7
Jan-15,0.5,0.3,1.9
Feb-15,0.4,0,1.9
Mar-15,0.3,0,2
Apr-15,0.3,-0.1,1.9
May-15,0.4,0.1,1.8
Jun-15,0.3,0,1.9
Jul-15,0.5,0.1,1.8
Aug-15,0.4,0,1.8
Sep-15,0.2,-0.1,1.8
Oct-15,0.2,-0.1,1.8
Nov-15,0.4,0.1,1.9
Dec-15,0.5,0.2,1.9
Jan-16,0.6,0.3,2
Feb-16,0.6,0.3,2
Mar-16,0.8,0.5,2.1
Apr-16,0.7,0.3,2.2
May-16,0.7,0.3,2.3
Jun-16,0.8,0.5,2.3
Jul-16,0.9,0.6,2.4
Aug-16,1,0.6,2.4
Sep-16,1.3,1,2.4
Oct-16,1.3,0.9,2.7
Nov-16,1.5,1.2,2.6
Dec-16,1.8,1.6,2.6
Jan-17,1.9,1.8,2.5
Feb-17,2.3,2.3,2.5
Mar-17,2.3,2.3,2.4
Apr-17,2.6,2.7,2.2
May-17,2.7,2.9,2.1
Jun-17,2.6,2.6,2
Jul-17,2.6,2.6,2
Aug-17,2.7,2.9,1.9
Sep-17,2.8,3,1.9
Oct-17,2.8,3,1.6
Nov-17,2.8,3.1,1.5
Dec-17,2.7,3,1.3
Jan-18,2.7,3,1.2
Feb-18,2.5,2.7,1.2
Mar-18,2.3,2.5,1.2
Apr-18,2.2,2.4,1.2
May-18,2.3,2.4,1.1
Jun-18,2.3,2.4,1.1
Jul-18,2.3,2.5,1.1
Aug-18,2.4,2.7,1
Sep-18,2.2,2.4,1
Oct-18,2.2,2.4,1.1
Nov-18,2.2,2.3,1.1
Dec-18,2,2.1,1.2
Jan-19,1.8,1.8,1.1
Feb-19,1.8,1.9,1.1
Mar-19,1.8,1.9,1.1
Apr-19,2,2.1,1.2
May-19,1.9,2,1.2
