,p_allcause,mnu_pop,u_pop.se,mnu_pop_dec,u_pop.se_dec
1,0.004881,0.94,0.002059498,0.739,0.064179405
2,0.000371,0.94,0.002059498,0.739,0.064179405
3,0.0002155,0.94,0.002059498,0.739,0.064179405
4,0.0001635,0.94,0.002059498,0.739,0.064179405
5,0.000129,0.94,0.002059498,0.739,0.064179405
6,0.0001165,0.94,0.002059498,0.739,0.064179405
7,0.000102,0.94,0.002059498,0.739,0.064179405
8,0.000089,0.94,0.002059498,0.739,0.064179405
9,0.0001075,0.94,0.002059498,0.739,0.064179405
10,0.000098,0.94,0.002059498,0.739,0.064179405
11,0.0000965,0.94,0.002059498,0.739,0.064179405
12,0.0001045,0.94,0.002059498,0.739,0.064179405
13,0.0001095,0.94,0.002059498,0.739,0.064179405
14,0.0001385,0.94,0.002059498,0.739,0.064179405
15,0.0001465,0.94,0.002059498,0.739,0.064179405
16,0.000189,0.94,0.002059498,0.739,0.064179405
17,0.0002535,0.94,0.002059498,0.739,0.064179405
18,0.0003615,0.94,0.002059498,0.739,0.064179405
19,0.000401,0.94,0.002059498,0.739,0.064179405
20,0.0004225,0.94,0.002059498,0.739,0.064179405
21,0.0004475,0.94,0.002059498,0.739,0.064179405
22,0.000441,0.94,0.002059498,0.739,0.064179405
23,0.000455,0.94,0.002059498,0.739,0.064179405
24,0.0004525,0.94,0.002059498,0.739,0.064179405
25,0.0004785,0.94,0.002059498,0.739,0.064179405
26,0.000488,0.93,0.002574372,0.729,0.071754749
27,0.0005445,0.93,0.002574372,0.729,0.071754749
28,0.0005335,0.93,0.002574372,0.729,0.071754749
29,0.000574,0.93,0.002574372,0.729,0.071754749
30,0.000598,0.93,0.002574372,0.729,0.071754749
31,0.000643,0.93,0.002574372,0.729,0.071754749
32,0.000664,0.93,0.002574372,0.729,0.071754749
33,0.0007345,0.93,0.002574372,0.729,0.071754749
34,0.000794,0.93,0.002574372,0.729,0.071754749
35,0.000837,0.93,0.002574372,0.729,0.071754749
36,0.000906,0.91,0.002745997,0.709,0.074107989
37,0.0009105,0.91,0.002745997,0.709,0.074107989
38,0.000981,0.91,0.002745997,0.709,0.074107989
39,0.0010745,0.91,0.002745997,0.709,0.074107989
40,0.0011525,0.91,0.002745997,0.709,0.074107989
41,0.001245,0.91,0.002745997,0.709,0.074107989
42,0.001345,0.91,0.002745997,0.709,0.074107989
43,0.0014625,0.91,0.002745997,0.709,0.074107989
44,0.001584,0.91,0.002745997,0.709,0.074107989
45,0.001693,0.91,0.002745997,0.709,0.074107989
46,0.001894,0.85,0.004290621,0.649,0.092634993
47,0.0020245,0.85,0.004290621,0.649,0.092634993
48,0.0022465,0.85,0.004290621,0.649,0.092634993
49,0.0024795,0.85,0.004290621,0.649,0.092634993
50,0.002651,0.85,0.004290621,0.649,0.092634993
51,0.003029,0.85,0.004290621,0.649,0.092634993
